Restaurant,City,State,currentmonths,extramonths,asianproportion,blackproportion,hispanicproportion,whiteproportion,breakfast,lunch,dinner,latenight,busy,averagetotalbill,pcttip,bigtips,comparative_tips,flair,intro,selling,squatt,touch,jokes,repeat,customer_me,draw,smile,thanks,weather,compliment,happy,yearsexperience,effect_sz,Men,Women,Teenagers,Young_Adults,Middle_Aged_Adults,Elderly_Adults,Cash_Customers,Charge_Customers,Smokers,Regulars,First_Timers,Asians,Blacks,Hispanics,Whites,Foreigners,Couples,onetops,kids,Business_People,Extraverted_enthusiastic,Critical_quarrelsome,Dependable_selfdisciplined,Anxious_easily_upset,Open_to_new_experiences_complex,Reserved_quiet,Sympathetic_warm,Disorganized_careless,Calm_emotiolly_stable,Conventiol_uncreative,birth_yr,sex,hair,hair_other,married,race,race_other
L!USas Greenhouse,Hampton Falls,NH,36,0,0,10,5,85,No,Yes,Yes,0,2,18,18,15,2,1,4,4,1,1,2,3,1,1,2,3,2,2,5,10,5,3,2,2,3,3,1,2,2,99,2,3,99,2,2,2,1,3,3,2,1,5,4,6,3,6,2,5,2,6,2,1966,Female,2,NA,1,4,NA
Outback,KS City,KS,5,5,5,20,15,65,No,No,Yes,0,4,19,15,20,2,4,4,4,4,1,3,2,3,1,3,1,2,3,5,30,3,3,1,1,1,2,1,3,2,3,3,2,1,1,1,2,2,3,3,1,3,6,2,7,1,7,2,6,1,7,2,1959,Female,2,NA,0,4,NA
Poons &Co.,London,!US,24,0,50,25,0,25,No,No,Yes,1,1,30,0,0,7,3,1,2,1,1,2,3,1,1,2,1,1,1,4,2,2,2,2,1,1,,,2,2,,2,,1,1,,1,1,2,2,2,2,5,1,7,1,7,4,7,1,7,1,1981,Male,2,NA,1,1,NA
Fay's,Carlisle,PA,10,12,0,0,0,100,Yes,No,No,0,3,6,13,15,4,2,4,1,1,1,2,3,1,1,1,3,1,3,6,5,3,2,1,1,3,3,1,3,1,99,2,99,99,99,99,2,99,99,1,3,99,,,,,,,,,,,1980,Female,3,NA,1,4,NA
HIstoric Turner Restuarant,Milwa!USee,WI,4,0,8,30,2,60,No,Yes,Yes,0,2,40,13,40,3,1,4,4,1,1,1,2,1,1,1,1,1,3,4,1,3,2,3,2,2,2,2,2,3,2,2,2,2,3,99,2,2,2,2,3,3,6,4,6,2,6,4,6,4,2,1,1986,Female,2,NA,0,4,NA
fridays,humble,TX,18,24,1,15,4,80,No,Yes,No,0,2,20,12,5,1,1,2,1,2,2,1,1,2,1,4,1,1,2,6,2,5,3,2,1,1,2,3,1,2,3,3,1,1,1,1,2,1,2,3,1,2,7,1,6,1,7,1,6,5,7,1,1982,Male,2,NA,0,4,NA
NA,NA,NA,,,,,,,No,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
Longhorn,Exton,PA,4,11,3,3,5,89,No,Yes,Yes,0,2,20,17,10,3,1,4,4,3,1,3,2,3,1,4,2,1,4,7,3,2,99,99,99,99,99,99,99,99,99,3,99,99,99,99,99,99,99,99,99,99,7,1,6,1,7,1,7,2,6,1,1984,Male,2,NA,0,4,NA
The Red Oak,Peoria,ID,12,0,,1,,99,No,Yes,Yes,0,3,20,15,60,2,1,4,2,1,1,2,3,2,1,2,4,1,1,4,1,4,3,2,1,1,2,1,2,2,99,3,2,99,99,99,2,99,2,3,2,2,1,1,7,4,4,7,6,1,4,5,1982,Male,2,NA,0,4,NA
highlands bar and grill,birmingham,AL,60,6,5,20,5,70,No,Yes,Yes,0,1,30,18,15,4,4,1,3,2,1,2,1,3,1,1,1,1,1,2,30,3,3,1,1,1,3,1,2,3,3,3,2,1,1,1,3,1,2,3,1,3,6,1,7,1,6,2,6,1,6,2,1954,Female,3,NA,0,4,NA
Fratelli di poli,Roswell,GA,4,0,3,7,0,90,No,No,Yes,0,2,25,20,25,3,1,4,3,2,1,2,3,1,1,2,1,1,3,6,3,4,1,2,3,3,2,1,3,1,3,3,2,1,1,99,2,1,3,3,3,1,4,1,7,1,7,2,3,2,7,1,1986,Female,2,NA,0,4,NA
ples Hotel,ples,NY,6,0,10,20,10,60,No,Yes,Yes,0,2,35,19,50,2,1,2,4,1,2,2,2,3,1,3,1,1,3,6,6,5,3,2,99,99,3,2,2,2,99,3,2,2,2,2,2,3,2,2,1,3,7,5,7,1,7,2,6,1,7,2,1982,Male,2,NA,1,4,NA
Wildfire,Oakbrook,ID,60,0,1,5,4,90,No,No,Yes,0,1,30,20,90,2,1,1,4,1,1,3,4,3,1,3,1,1,2,6,10,4,2,2,1,1,3,2,2,2,3,3,3,1,2,2,2,1,1,2,2,1,7,,7,3,7,1,4,1,4,1,1967,Female,2,NA,1,3,NA
NA,NA,NA,,,,,,,No,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
curleys,ferndale,CA,48,20,0,1,5,94,No,Yes,Yes,0,2,35,18,20,4,3,3,4,1,2,4,3,3,1,4,1,2,3,1,30,4,3,3,1,2,,1,3,2,99,3,2,2,2,1,2,1,2,3,1,1,7,7,3,,7,1,3,,7,1,1962,Male,3,NA,1,4,NA
Yardarm Restaurant,Corpus Christi,TX,120,0,1,1,48,50,No,No,Yes,0,2,40,20,15,3,1,1,1,1,1,2,2,2,1,4,4,1,2,6,10,3,3,2,1,3,2,3,3,3,99,3,2,1,2,2,3,1,3,3,1,3,2,3,7,4,3,7,5,1,6,2,1981,Male,2,NA,0,4,NA
Houlihan's,Orlando,FL,7,10,5,15,30,50,No,Yes,Yes,0,2,15,17,85,4,2,4,4,4,3,2,3,2,1,4,2,1,3,6,4,4,3,2,1,3,3,1,2,3,99,3,2,1,1,3,3,1,3,3,1,2,6,1,7,1,6,5,7,1,7,2,1986,Male,2,NA,0,4,NA
Perkin's Restaurant and Bakery,Winnipeg,!US,30,10,5,2,3,90,Yes,Yes,Yes,0,3,15,10,25,4,1,3,4,1,1,4,4,2,1,4,3,4,4,3,2,4,2,1,1,1,3,1,3,2,99,3,99,1,3,2,2,2,3,2,1,3,7,1,6,1,6,1,6,1,6,2,1987,Male,,black,0,,metis (cadian aborigil and european)
Best Cellar,Linville,NC,14,24,3,5,2,90,No,Yes,Yes,0,3,,15,20,3,1,3,3,2,2,2,1,3,1,3,1,2,3,6,13,3,3,1,1,3,2,1,2,2,3,3,2,2,1,1,2,1,1,2,1,2,7,3,7,5,6,1,6,1,3,1,1970,Male,3,NA,1,4,NA
Fourth Story,Denver,CO,5,0,10,10,5,75,No,Yes,Yes,0,3,35,19,75,4,1,4,2,1,1,2,1,1,1,3,1,1,3,5,9,2,2,2,2,3,2,1,2,2,99,2,3,99,1,99,2,1,3,1,1,2,7,2,7,3,6,3,7,1,5,2,1979,Male,1,NA,0,4,NA
Vespaio,Austin,TX,48,0,5,10,5,80,No,No,Yes,0,2,45,18,25,3,1,1,4,2,2,2,2,3,1,3,1,2,3,7,13,4,3,2,1,1,3,1,3,2,99,3,2,1,2,2,2,1,2,3,1,2,5,2,6,1,7,1,3,1,6,2,1969,Male,1,NA,0,4,NA
Outback,W. Nyack,NY,24,0,10,20,20,30,No,No,Yes,0,2,15,15,10,7,2,4,4,4,1,2,3,2,1,2,2,1,2,3,2,4,3,2,1,1,3,2,2,2,2,2,2,1,1,1,2,1,3,3,2,3,3,1,7,1,7,5,6,1,7,1,1962,Female,2,NA,1,4,NA
NA,NA,NA,,,,,,,No,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
Bo Roma,Calgary,!US,60,24,5,3,3,89,No,No,Yes,1,2,30,17,10,3,1,2,3,2,1,3,2,2,1,4,2,3,3,5,6,4,2,2,1,2,3,1,3,2,3,3,2,2,2,2,2,1,3,2,1,2,5,4,6,2,6,5,5,2,6,5,1980,Female,1,NA,0,4,NA
Shit Eaters Joint,Toronto,!US,70,240,,100,,,Yes,Yes,Yes,1,1,1,1.00E-05,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1945,Female,,shit color,1,,mongoloid halfbreed
Bob Evans Restaurant,Columbus,OH,35,0,3,5,2,90,No,Yes,Yes,0,3,10,15,20,5,1,4,4,1,1,4,4,1,2,4,3,1,2,5,3,2,2,2,1,3,2,1,2,2,2,2,2,1,1,99,2,1,2,3,1,1,6,2,7,2,7,3,4,1,4,2,1980,Male,1,NA,0,4,NA
NA,NA,NA,10,1,10,8,2,80,No,Yes,Yes,1,3,18,8,3,3,3,2,4,2,1,2,2,1,1,2,4,1,2,6,0.2,3,3,2,1,1,3,2,2,2,1,2,2,1,1,99,2,2,2,2,1,2,6,2,5,2,7,2,6,4,7,2,1983,,2,NA,0,4,NA
Feast,Tucson,AZ,13,24,5,10,15,70,No,Yes,Yes,0,3,15,18,40,4,2,3,2,2,1,4,4,3,1,3,1,3,4,2,12,4,2,2,1,2,3,1,1,3,99,3,2,2,1,1,2,1,3,2,1,2,7,6,7,7,3,2,6,3,3,1,1978,Female,3,NA,0,4,NA
Houston's,WInter Park,FL,108,6,10,20,20,50,No,No,Yes,0,2,50,20,5,2,1,4,4,1,1,4,3,4,1,3,1,1,4,1,15,4,3,1,1,1,2,1,2,3,3,3,2,2,1,1,2,1,2,2,2,3,7,4,7,2,3,1,6,1,5,1,1970,Male,2,NA,1,,tive american indian
Senor Swanky's,NY,NY,2,1,2,2,5,91,Yes,Yes,Yes,1,3,30,15,70,4,1,1,2,1,1,1,2,1,1,3,1,2,2,3,3,5,3,2,1,1,2,2,3,2,2,3,2,2,1,1,3,1,3,2,2,3,1,1,6,3,5,7,7,3,7,2,1983,Male,2,NA,0,2,NA
Botanica,Saskatoon,!US,21,1,15,5,0,80,Yes,Yes,Yes,0,3,15,10,5,3,1,4,4,3,4,4,3,1,1,2,3,1,3,3,4,3,3,2,1,1,3,1,99,99,99,2,99,3,2,99,2,1,1,3,1,3,7,1,7,1,7,1,7,1,7,1,1983,Male,2,NA,1,4,NA
Olive Garden,Middletown,OH,6,0,5,20,15,60,No,No,Yes,0,3,15,15,60,3,4,4,4,1,1,1,4,2,1,3,2,1,3,5,6,3,2,3,1,1,2,1,2,3,3,3,2,3,1,1,2,1,3,3,1,3,5,1,7,1,6,5,7,4,7,2,1973,Male,2,NA,0,4,NA
Getaways,Winkler,!US,2,0,2,5,10,83,No,Yes,Yes,1,2,30,15,6,3,2,3,3,1,1,2,3,3,3,3,3,3,3,4,1,2,2,3,2,2,2,3,3,1,2,2,3,3,3,3,2,3,3,2,2,2,7,2,7,2,7,4,6,2,7,5,1988,Male,,blonde on top brown on bottem,0,4,NA
Cedar Creek Restaurant,Cedar City,UT,36,240,1,1,3,95,Yes,Yes,No,0,2,10,15,50,4,1,3,4,1,1,1,3,2,1,3,3,1,2,7,18,3,2,2,1,1,2,1,2,2,3,2,2,99,99,1,2,1,3,3,1,2,6,1,7,2,4,2,7,1,4,2,1964,Male,2,NA,0,,white/tive american
Walli's Resturant,Flint,MI,2,9,0,35,2,73,No,No,Yes,1,2,11,12,20,4,1,4,3,2,1,3,3,1,1,3,1,1,1,2,1,4,2,2,1,2,3,1,2,3,99,1,2,99,1,2,2,1,99,2,2,3,6,3,5,3,6,2,6,2,3,1,1987,Female,2,NA,0,4,NA
Fat Tuesday's Pub,Victoria,!US,18,3,2,5,2,90,No,No,Yes,1,4,25,12,15,5,1,3,2,2,2,3,4,3,1,3,4,2,1,4,6,3,2,1,1,3,2,1,2,2,99,3,2,99,99,99,99,2,2,1,1,2,6,2,7,3,6,5,6,4,7,5,1982,Female,2,NA,1,4,NA
Nick's Riverside Grille,WA,DC,4,2,5,30,20,45,No,Yes,Yes,0,2,60,12,25,3,1,1,3,1,1,3,2,1,1,3,1,2,1,5,4,2,3,2,1,1,3,1,1,2,2,3,2,1,1,2,2,1,2,3,2,3,7,2,7,2,7,1,7,2,7,3,1984,Male,2,NA,0,4,NA
chili's,clovis,NM,2,24,,15,15,70,No,No,Yes,1,2,20,13,10,2,3,4,4,4,2,3,4,4,2,3,4,2,1,6,10,4,2,2,1,3,3,1,2,3,3,3,3,99,99,99,99,99,3,2,3,3,7,1,6,1,7,1,7,2,7,1,1978,Male,3,NA,1,4,NA
Macado's,blacksburg,VA,15,24,15,8,1,50,No,Yes,Yes,0,2,10,2,5,2,2,3,3,4,3,2,4,2,1,2,2,1,3,3,7,3,2,2,1,3,3,2,2,2,2,2,3,2,1,1,2,2,3,3,2,2,6,2,6,3,6,4,5,5,6,2,83,Male,3,NA,0,4,NA
The Good Earth,Edi,MN,13,8,5,10,5,80,Yes,Yes,Yes,0,2,11.75,18,25,2,1,3,3,2,2,3,2,2,1,2,1,1,3,6,4,3,2,3,1,1,3,2,3,2,2,3,3,2,2,2,2,1,3,2,2,2,5,3,6,2,6,4,4,3,6,2,1979,Female,2,NA,0,4,NA
MacArthur Park,Palo Alto,CA,48,0,10,,,90,No,No,Yes,0,2,36,20,40,1,1,1,4,1,1,2,4,3,1,1,2,1,3,6,13,4,2,3,1,2,3,1,2,3,99,3,2,2,1,2,3,1,3,2,3,3,6,1,7,1,7,1,6,1,6,2,1971,Male,2,NA,0,4,NA
joes crab shack,shville,TN,7,0,2,6,2,90,No,Yes,Yes,1,2,35,20,70,3,4,4,4,4,1,3,4,2,2,3,4,1,3,4,10,5,2,3,1,2,2,1,2,3,3,3,2,2,1,1,2,1,3,3,2,3,7,1,7,1,7,1,7,1,7,7,1972,Female,2,NA,1,4,NA
Don's,Columbia,MD,4,12,10,9,1,80,Yes,Yes,Yes,0,3,15,18,40,3,2,3,2,1,1,2,2,1,1,3,4,2,3,3,1,3,2,1,2,2,1,3,2,3,99,3,1,1,2,2,2,2,3,1,2,1,5,5,7,5,7,6,6,6,5,2,1990,Male,3,NA,0,4,NA
NA,NA,NA,,,,,,,No,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
Kabush,LA,CA,60,60,20,20,20,40,Yes,Yes,Yes,1,3,10,0,0,7,2,4,4,1,1,2,4,2,1,4,2,1,,7,15,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,5,6,6,6,3,3,5,2,1970,Female,,black,1,4,NA
Bears Head (JDWetherspoons Pub),Cardiff,!US,36,,1,1,,98,No,No,Yes,1,3,3,0,0,4,2,1,4,2,1,2,4,4,1,2,1,2,2,4,3,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,4,3,1,5,5,6,5,7,3,1985,Female,2,NA,0,4,NA
Bears Head (JDWetherspoons Pub),Cardiff,!US,36,,1,1,,98,No,No,Yes,1,3,3,0,0,4,2,1,4,2,1,2,4,4,1,2,1,2,2,4,3,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,4,3,1,5,5,6,5,7,3,1985,Female,2,NA,0,4,NA
NA,NA,NA,,,,,,,No,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
cafeterija,ljublja,!US,6,10,0,1,0,99,Yes,No,No,0,2,2,5,1,3,2,1,2,1,1,2,2,2,1,3,1,2,1,4,1,3,3,2,1,1,3,1,2,1,99,2,2,99,99,99,2,3,3,2,1,1,5,2,4,5,7,3,7,1,6,2,1985,Male,1,NA,0,4,NA
